,naive_512,sve_512_vl128,sve_512_vl256,sve_512_vl512,sme_512_vl128,sme_512_vl256,sme_512_vl512,sme_softmax_512_vl128,sme_softmax_512_vl256,sme_softmax_512_vl512,sme_scaled_512_vl128,sme_scaled_512_vl256,sme_scaled_512_vl512,sme_transpose_512_vl128,sme_transpose_512_vl256,sme_transpose_512_vl512,sme_full_512_vl128,sme_full_512_vl256,sme_full_512_vl512
simTicks,9.7326e+12,2.22032e+12,1.99939e+12,1.91489e+12,1.92398e+12,1.72852e+12,1.68561e+12,1.91988e+12,1.7268e+12,1.67436e+12,1.93228e+12,1.74659e+12,1.70602e+12,1.89322e+12,1.71723e+12,1.67076e+12,1.95669e+12,1.72846e+12,1.67218e+12
simSeconds,9.7326,2.22031,1.99939,1.91489,1.92398,1.72852,1.68561,1.91988,1.7268,1.67436,1.93228,1.74659,1.70602,1.89322,1.71723,1.67076,1.95669,1.72846,1.67218
simInsts,1.89088e+09,2.91335e+08,2.57584e+08,2.40708e+08,3.06539e+08,2.54562e+08,2.35678e+08,3.09235e+08,2.55128e+08,2.35179e+08,3.17403e+08,2.61079e+08,2.39835e+08,3.06516e+08,2.54509e+08,2.35611e+08,3.18108e+08,2.59626e+08,2.37302e+08
simOps,1.91256e+09,3.47633e+08,3.13882e+08,2.97006e+08,3.29021e+08,2.77043e+08,2.58159e+08,3.30931e+08,2.76823e+08,2.56875e+08,3.39884e+08,2.8356e+08,2.62316e+08,3.29005e+08,2.77003e+08,2.58107e+08,3.39812e+08,2.81334e+08,2.59013e+08
system.cpu.numCycles,9.7326e+09,2.22032e+09,1.99939e+09,1.91489e+09,1.92398e+09,1.72852e+09,1.68561e+09,1.91988e+09,1.7268e+09,1.67436e+09,1.93228e+09,1.74659e+09,1.70602e+09,1.89322e+09,1.71723e+09,1.67076e+09,1.95669e+09,1.72846e+09,1.67218e+09
system.cpu.ipc,0.194298,0.131323,0.128954,0.125831,0.159402,0.147356,0.139905,0.16118,0.147849,0.140555,0.164924,0.149725,0.140709,0.161979,0.148294,0.141108,0.16326,0.150473,0.142051
system.cpu.cpi,5.14673,7.61479,7.75473,7.94717,6.27345,6.78628,7.14772,6.20425,6.76365,7.11463,6.06339,6.67891,7.10688,6.17365,6.74335,7.08678,6.12519,6.64571,7.03972
system.cpu.commitStats0.numInsts,1.89103e+09,2.91579e+08,2.57828e+08,2.40953e+08,3.06686e+08,2.54708e+08,2.35824e+08,3.09446e+08,2.55306e+08,2.35341e+08,3.18679e+08,2.61508e+08,2.40052e+08,3.06662e+08,2.54655e+08,2.35757e+08,3.1945e+08,2.60087e+08,2.37535e+08
system.cpu.commitStats0.committedInstType::MatrixOP,0,0,0,0,2.09715e+06,524288,131072,2.09715e+06,524288,131072,2.09715e+06,524288,131072,2.09715e+06,524288,131072,2.09715e+06,524288,131072
system.cpu.commitStats0.numVecInsts,2.19769e+08,8.28303e+07,6.59548e+07,5.7517e+07,3.84215e+07,2.51054e+07,1.9627e+07,3.80344e+07,2.41285e+07,1.83552e+07,3.92079e+07,2.52364e+07,1.9627e+07,3.84133e+07,2.50931e+07,1.96126e+07,3.88126e+07,2.42473e+07,1.83408e+07
system.mem_ctrl.readReqs,9.20789e+08,1.18551e+08,1.1172e+08,1.07511e+08,8.66844e+07,7.6461e+07,7.32234e+07,8.53239e+07,7.45463e+07,7.10079e+07,8.57441e+07,7.52372e+07,7.21697e+07,8.59198e+07,7.56146e+07,7.22707e+07,8.57305e+07,7.42252e+07,7.08091e+07
system.mem_ctrl.writeReqs,9.88364e+07,2.96816e+07,2.96652e+07,2.96488e+07,3.75869e+07,3.33578e+07,3.12258e+07,3.83099e+07,3.39015e+07,3.16713e+07,3.75214e+07,3.33087e+07,3.11931e+07,3.75869e+07,3.33578e+07,3.12258e+07,3.82443e+07,3.38524e+07,3.16385e+07
system.mem_ctrl.avgRdBWSys,1.48822e+09,1.36937e+09,1.36965e+09,1.36001e+09,1.36001e+09,1.34937e+09,1.35628e+09,1.36282e+09,1.35465e+09,1.35272e+09,1.34038e+09,1.3284e+09,1.32657e+09,1.35615e+09,1.3462e+09,1.34302e+09,1.35148e+09,1.34208e+09,1.34137e+09
system.mem_ctrl.avgWrBWSys,4.99646e+07,9.47842e+07,1.05258e+08,1.09902e+08,1.26279e+08,1.30852e+08,1.29206e+08,1.3011e+08,1.34496e+08,1.33483e+08,1.25193e+08,1.28898e+08,1.27046e+08,1.2833e+08,1.31712e+08,1.30354e+08,1.27126e+08,1.3376e+08,1.3303e+08
system.mem_ctrl.dram.readRowHitRate,89.27,88.39,88.6,88.33,84.41,84.67,84.76,84.72,84.98,85.05,83.99,83.83,83.75,83.75,83.87,83.9,84.63,84.5,84.39
system.mem_ctrl.dram.writeRowHitRate,88.36,91.36,91.69,91.68,90,89.8,89.62,89.84,89.25,89.59,92.06,91.72,91.49,91.51,91.29,91.04,92.79,92.16,92.09
system.mem_ctrl.requestorReadAvgLat::cpu.inst,26852.9,24009,24862,25871.3,25245.5,25592.1,25663.2,24723.2,24885.8,24778.1,25779.4,26128.6,26240.5,25599.6,25829.5,25717.8,25067.2,25464.3,25615.6
system.mem_ctrl.dram.rank0.totalEnergy,1.11827e+13,1.67232e+12,1.50355e+12,1.43407e+12,1.34342e+12,1.18287e+12,1.14519e+12,1.34112e+12,1.18257e+12,1.13701e+12,1.3476e+12,1.19526e+12,1.15876e+12,1.32328e+12,1.17677e+12,1.13552e+12,1.36554e+12,1.18352e+12,1.13618e+12
system.mem_ctrl.dram.rank1.totalEnergy,5.90445e+12,1.65606e+12,1.52984e+12,1.47709e+12,1.44414e+12,1.30354e+12,1.26632e+12,1.4213e+12,1.27838e+12,1.23526e+12,1.44008e+12,1.30224e+12,1.26883e+12,1.42642e+12,1.29235e+12,1.25406e+12,1.44032e+12,1.28004e+12,1.23707e+12
