,naive_256,sve_256_vl128,sve_256_vl256,sve_256_vl512,sme_full_256_vl128,sme_full_256_vl256,sme_full_256_vl512
simTicks,2.83393e+12,9.42984e+11,8.81842e+11,8.56149e+11,8.7623e+11,8.18285e+11,8.03845e+11
simSeconds,2.83393,0.942984,0.881842,0.856149,0.87623,0.818285,0.803845
simInsts,5.24203e+08,1.23575e+08,1.15138e+08,1.10919e+08,1.30224e+08,1.15583e+08,1.09994e+08
simOps,5.34908e+08,1.4294e+08,1.34502e+08,1.30283e+08,1.40943e+08,1.26304e+08,1.20715e+08
system.cpu.numCycles,2.83393e+09,9.42984e+08,8.81843e+08,8.5615e+08,8.7623e+08,8.18285e+08,8.03845e+08
system.cpu.ipc,0.184999,0.131177,0.130704,0.129698,0.149044,0.141436,0.136952
system.cpu.cpi,5.40542,7.6233,7.6509,7.71021,6.70945,7.07032,7.30181
system.cpu.commitStats0.numInsts,5.24275e+08,1.23698e+08,1.1526e+08,1.11041e+08,1.30596e+08,1.15735e+08,1.10088e+08
system.cpu.commitStats0.committedInstType::MatrixOP,0,0,0,0,524288,131072,32768
system.cpu.commitStats0.numVecInsts,5.58179e+07,2.15746e+07,1.73557e+07,1.52463e+07,1.05595e+07,6.91403e+06,5.43537e+06
system.mem_ctrl.readReqs,2.4641e+08,4.53163e+07,4.33465e+07,4.22942e+07,3.70765e+07,3.41325e+07,3.33324e+07
system.mem_ctrl.writeReqs,3.19838e+07,1.46259e+07,1.46218e+07,1.46177e+07,1.67621e+07,1.56638e+07,1.51099e+07
system.mem_ctrl.avgRdBWSys,1.4621e+09,1.34821e+09,1.35608e+09,1.3576e+09,1.33529e+09,1.33052e+09,1.33096e+09
system.mem_ctrl.avgWrBWSys,6.1186e+07,1.10459e+08,1.18117e+08,1.21662e+08,1.29882e+08,1.33723e+08,1.33415e+08
system.mem_ctrl.dram.readRowHitRate,88.93,86.68,87.14,87.33,84.08,84,83.92
system.mem_ctrl.dram.writeRowHitRate,89.64,91.23,91.35,91.38,92.2,92.23,92.36
system.mem_ctrl.requestorReadAvgLat::cpu.inst,26739.9,24640.7,24791.9,25064.2,25283.7,25453.7,25508.4
system.mem_ctrl.dram.rank0.totalEnergy,3.05507e+12,6.73584e+11,6.26219e+11,6.05191e+11,5.98608e+11,5.51355e+11,5.39349e+11
system.mem_ctrl.dram.rank1.totalEnergy,1.78408e+12,7.05479e+11,6.68619e+11,6.52384e+11,6.47759e+11,6.07655e+11,5.97333e+11
