
---------- Begin Simulation Statistics ----------
simSeconds                                   2.833927                       # Number of seconds simulated (Second)
simTicks                                 2833927181000                       # Number of ticks simulated (Tick)
finalTick                                2833927181000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2173.60                       # Real time elapsed on the host (Second)
hostTickRate                               1303791583                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8561316                       # Number of bytes of host memory used (Byte)
simInsts                                    524202729                       # Number of instructions simulated (Count)
simOps                                      534908371                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   241167                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     246093                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       2833927183                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.405423                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.184999                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       537354372                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   131330                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      722817736                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    887                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2577330                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2554240                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  40                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2067086186                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.349680                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.802691                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1620825309     78.41%     78.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 275991906     13.35%     91.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  99680052      4.82%     96.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  43075004      2.08%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  22753201      1.10%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1917601      0.09%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2420882      0.12%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    263235      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    158996      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2067086186                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   68823      4.57%      4.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  12303      0.82%      5.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               130878      8.70%     14.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.09% # attempts to use FU when none available (Count)
