
---------- Begin Simulation Statistics ----------
simSeconds                                   0.323357                       # Number of seconds simulated (Second)
simTicks                                 323357257000                       # Number of ticks simulated (Tick)
finalTick                                323357257000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    217.77                       # Real time elapsed on the host (Second)
hostTickRate                               1484854655                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8556196                       # Number of bytes of host memory used (Byte)
simInsts                                     52142850                       # Number of instructions simulated (Count)
simOps                                       54799284                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   239440                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     251638                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        323357260                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.199219                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.161311                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        55296099                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    32947                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       68426247                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    220                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               529761                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            440829                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  39                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           215331185                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.317772                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.828346                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 176066340     81.77%     81.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  22933639     10.65%     92.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8952233      4.16%     96.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3976095      1.85%     98.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2212520      1.03%     99.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    477896      0.22%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    606637      0.28%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     66125      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     39700      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             215331185                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17201      5.02%      5.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3039      0.89%      5.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 8186      2.39%      8.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.30% # attempts to use FU when none available (Count)
