
---------- Begin Simulation Statistics ----------
simSeconds                                   0.821355                       # Number of seconds simulated (Second)
simTicks                                 821354767000                       # Number of ticks simulated (Tick)
finalTick                                821354767000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    484.68                       # Real time elapsed on the host (Second)
hostTickRate                               1694629407                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8561312                       # Number of bytes of host memory used (Byte)
simInsts                                    114328096                       # Number of instructions simulated (Count)
simOps                                      125238442                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   235883                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     258393                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        821355053                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.179598                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.139284                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       130134779                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   274094                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      140782469                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    817                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5170430                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3725997                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 204                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           478456297                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.294243                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.903821                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 410612167     85.82%     85.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  33548553      7.01%     92.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15782485      3.30%     96.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7751952      1.62%     97.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5093968      1.06%     98.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2699026      0.56%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2465555      0.52%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    271970      0.06%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    230621      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             478456297                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   68809      5.13%      5.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  12303      0.92%      6.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      38      0.00%      6.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               130920      9.77%     15.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.82% # attempts to use FU when none available (Count)
