
---------- Begin Simulation Statistics ----------
simSeconds                                   0.810801                       # Number of seconds simulated (Second)
simTicks                                 810801440000                       # Number of ticks simulated (Tick)
finalTick                                810801440000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    470.60                       # Real time elapsed on the host (Second)
hostTickRate                               1722908779                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8561312                       # Number of bytes of host memory used (Byte)
simInsts                                    109602016                       # Number of instructions simulated (Count)
simOps                                      120512362                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   232898                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     256082                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        810801726                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.392755                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.135268                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       126526884                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   209611                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      136014494                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1128                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6224132                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5181335                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               40105                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           470294900                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.289211                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.890310                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 404439365     86.00%     86.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  32381819      6.89%     92.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15669644      3.33%     96.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7551281      1.61%     97.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4767400      1.01%     98.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2800514      0.60%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2323223      0.49%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    265196      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     96458      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             470294900                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   68807      5.14%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  12303      0.92%      6.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      38      0.00%      6.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               130875      9.77%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      1      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     15.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     15.83% # attempts to use FU when none available (Count)
