
---------- Begin Simulation Statistics ----------
simSeconds                                   1.923976                       # Number of seconds simulated (Second)
simTicks                                 1923975909000                       # Number of ticks simulated (Tick)
finalTick                                1923975909000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1186.98                       # Real time elapsed on the host (Second)
hostTickRate                               1620894005                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568476                       # Number of bytes of host memory used (Byte)
simInsts                                    306539461                       # Number of instructions simulated (Count)
simOps                                      329020633                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   258251                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     277190                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1923976466                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.273449                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.159402                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       336851761                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2452067                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      362529192                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1254                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10283194                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7434528                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 247                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1165644569                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.311012                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.944214                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 994370816     85.31%     85.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  85563863      7.34%     92.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  36878174      3.16%     95.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  18568377      1.59%     97.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15315973      1.31%     98.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6486777      0.56%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5627803      0.48%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2623033      0.23%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    209753      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1165644569                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  138308      4.73%      4.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24514      0.84%      5.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      38      0.00%      5.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               523549     17.91%     23.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.48% # attempts to use FU when none available (Count)
