
---------- Begin Simulation Statistics ----------
simSeconds                                   1.728518                       # Number of seconds simulated (Second)
simTicks                                 1728518065000                       # Number of ticks simulated (Tick)
finalTick                                1728518065000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1044.53                       # Real time elapsed on the host (Second)
hostTickRate                               1654822908                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568480                       # Number of bytes of host memory used (Byte)
simInsts                                    254561733                       # Number of instructions simulated (Count)
simOps                                      277042905                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   243709                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     265231                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1728518622                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.786278                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.147356                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       286508018                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   829051                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      310523527                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1256                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10294163                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7444952                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 783                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1019943491                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.304452                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.921688                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 869655008     85.27%     85.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  76339634      7.48%     92.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  33428278      3.28%     96.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  16377948      1.61%     97.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11111912      1.09%     98.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6446696      0.63%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5298877      0.52%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    562001      0.06%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    723137      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1019943491                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  138309      4.68%      4.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24514      0.83%      5.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      38      0.00%      5.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               523571     17.72%     23.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.23% # attempts to use FU when none available (Count)
