
---------- Begin Simulation Statistics ----------
simSeconds                                   1.685605                       # Number of seconds simulated (Second)
simTicks                                 1685605406000                       # Number of ticks simulated (Tick)
finalTick                                1685605406000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    991.26                       # Real time elapsed on the host (Second)
hostTickRate                               1700460284                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568480                       # Number of bytes of host memory used (Byte)
simInsts                                    235678021                       # Number of instructions simulated (Count)
simOps                                      258159193                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   237755                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     260434                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1685605963                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.147724                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.139905                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       272125165                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   576428                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      291415148                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2433                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             14542399                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13291485                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              163264                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           987461853                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.295115                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.897230                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 845288124     85.60%     85.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  71476077      7.24%     92.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  32945260      3.34%     96.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15641540      1.58%     97.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9805073      0.99%     98.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6859375      0.69%     99.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4715328      0.48%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    533812      0.05%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    197264      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             987461853                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  138307      4.67%      4.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24514      0.83%      5.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      38      0.00%      5.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               523451     17.69%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      1      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     23.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     23.20% # attempts to use FU when none available (Count)
