
---------- Begin Simulation Statistics ----------
simSeconds                                   0.201231                       # Number of seconds simulated (Second)
simTicks                                 201231254000                       # Number of ticks simulated (Tick)
finalTick                                201231254000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    114.10                       # Real time elapsed on the host (Second)
hostTickRate                               1763641319                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8557216                       # Number of bytes of host memory used (Byte)
simInsts                                     27049127                       # Number of instructions simulated (Count)
simOps                                       29720023                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   237065                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     260474                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        201231328                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.434425                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.134509                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        30966230                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    68284                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       33411574                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    264                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1314490                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            946777                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  40                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           116343064                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.287181                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.892443                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 100347522     86.25%     86.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7717512      6.63%     92.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3833651      3.30%     96.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1898903      1.63%     97.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1255157      1.08%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    578262      0.50%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    589662      0.51%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     99019      0.09%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     23376      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             116343064                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17188      5.59%      5.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3039      0.99%      6.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      38      0.01%      6.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 8192      2.66%      9.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      9.25% # attempts to use FU when none available (Count)
