
---------- Begin Simulation Statistics ----------
simSeconds                                   0.394291                       # Number of seconds simulated (Second)
simTicks                                 394291102000                       # Number of ticks simulated (Tick)
finalTick                                394291102000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    226.29                       # Real time elapsed on the host (Second)
hostTickRate                               1742438590                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8558240                       # Number of bytes of host memory used (Byte)
simInsts                                     52893506                       # Number of instructions simulated (Count)
simOps                                       58225225                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   233745                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     257307                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        394291232                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.448520                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.134255                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        59266882                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    82256                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       64216189                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    393                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1123912                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            974791                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                6722                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           227685566                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.282039                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.885454                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 196619175     86.36%     86.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15356497      6.74%     93.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7193524      3.16%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3975828      1.75%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2020554      0.89%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1021734      0.45%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1213258      0.53%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    205242      0.09%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     79754      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             227685566                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   34550      5.90%      5.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   6183      1.06%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   28      0.00%      6.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      6.96% # attempts to use FU when none available (Count)
