
---------- Begin Simulation Statistics ----------
simSeconds                                   0.876230                       # Number of seconds simulated (Second)
simTicks                                 876229764000                       # Number of ticks simulated (Tick)
finalTick                                876229764000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    515.29                       # Real time elapsed on the host (Second)
hostTickRate                               1700446683                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8561312                       # Number of bytes of host memory used (Byte)
simInsts                                    130224464                       # Number of instructions simulated (Count)
simOps                                      140942817                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   252719                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     273519                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        876230021                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.709446                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.149044                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       141951219                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   681236                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      153334782                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    657                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1689637                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1155414                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  50                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           517071594                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.296545                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.932914                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 444855070     86.03%     86.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  36047547      6.97%     93.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15942027      3.08%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8120447      1.57%     97.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5362614      1.04%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2509661      0.49%     99.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2760266      0.53%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1310213      0.25%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    163749      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             517071594                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  330132     23.09%     23.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  12303      0.86%     23.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     23.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     23.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     23.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     23.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   18      0.00%     23.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.96% # attempts to use FU when none available (Count)
