
---------- Begin Simulation Statistics ----------
simSeconds                                   1.956691                       # Number of seconds simulated (Second)
simTicks                                 1956690545000                       # Number of ticks simulated (Tick)
finalTick                                1956690545000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1191.63                       # Real time elapsed on the host (Second)
hostTickRate                               1642022958                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568480                       # Number of bytes of host memory used (Byte)
simInsts                                    318108277                       # Number of instructions simulated (Count)
simOps                                      339812240                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   266951                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     285165                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1956691061                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.125185                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.163260                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       340684721                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2451870                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      366337948                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1215                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3324350                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2292706                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  50                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1176509605                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.311377                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.974499                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1007254440     85.61%     85.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  85502573      7.27%     92.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  35874417      3.05%     95.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  16646684      1.41%     97.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13690593      1.16%     98.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6258161      0.53%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6224740      0.53%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4719104      0.40%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    338893      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1176509605                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1185577     35.01%     35.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24514      0.72%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   81      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    1      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      4      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     35.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     35.73% # attempts to use FU when none available (Count)
