
---------- Begin Simulation Statistics ----------
simSeconds                                   0.199888                       # Number of seconds simulated (Second)
simTicks                                 199887901000                       # Number of ticks simulated (Tick)
finalTick                                199887901000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    113.64                       # Real time elapsed on the host (Second)
hostTickRate                               1758947104                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8557212                       # Number of bytes of host memory used (Byte)
simInsts                                     27228663                       # Number of instructions simulated (Count)
simOps                                       29888430                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   239603                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     263008                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        199887966                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.331109                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.136405                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        30262469                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    68292                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       32829597                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    225                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               442330                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            302167                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  48                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           115783337                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.283543                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.892840                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 100018811     86.38%     86.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7759615      6.70%     93.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3633706      3.14%     96.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1998089      1.73%     97.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1065068      0.92%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    511214      0.44%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    625695      0.54%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    131321      0.11%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     39818      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             115783337                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   33689     10.92%     10.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3039      0.98%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    4      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    1      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     11.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      4      0.00%     11.91% # attempts to use FU when none available (Count)
