
---------- Begin Simulation Statistics ----------
simSeconds                                   0.195546                       # Number of seconds simulated (Second)
simTicks                                 195546215000                       # Number of ticks simulated (Tick)
finalTick                                195546215000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    110.59                       # Real time elapsed on the host (Second)
hostTickRate                               1768246937                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8557216                       # Number of bytes of host memory used (Byte)
simInsts                                     25953219                       # Number of instructions simulated (Count)
simOps                                       28613754                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   234684                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     258743                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        195546280                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.528855                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.132822                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        29086832                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    37201                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       31558285                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    243                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               510278                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            400732                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1693                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           112740448                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.279920                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.880581                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  97467463     86.45%     86.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7514832      6.67%     93.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3557598      3.16%     96.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1987355      1.76%     98.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    992179      0.88%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    492548      0.44%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    604420      0.54%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     84208      0.07%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     39845      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             112740448                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17327      5.92%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3039      1.04%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    2      0.00%      6.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      6.95% # attempts to use FU when none available (Count)
