
---------- Begin Simulation Statistics ----------
simSeconds                                   0.822414                       # Number of seconds simulated (Second)
simTicks                                 822413773000                       # Number of ticks simulated (Tick)
finalTick                                822413773000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    462.89                       # Real time elapsed on the host (Second)
hostTickRate                               1776696950                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8562332                       # Number of bytes of host memory used (Byte)
simInsts                                    111132946                       # Number of instructions simulated (Count)
simOps                                      122043295                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   240085                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     263655                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        822414033                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.394227                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.135241                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       127571161                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   192667                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      135151345                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1327                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5720532                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4650150                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               23161                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           468766264                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.288313                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.895227                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 403198308     86.01%     86.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  32825359      7.00%     93.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15155814      3.23%     96.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7575035      1.62%     97.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4653639      0.99%     98.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2300122      0.49%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2350134      0.50%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    589541      0.13%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    118312      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             468766264                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   68806      5.97%      5.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  12303      1.07%      7.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      19      0.00%      7.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               130961     11.36%     18.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.40% # attempts to use FU when none available (Count)
