
---------- Begin Simulation Statistics ----------
simSeconds                                   0.100815                       # Number of seconds simulated (Second)
simTicks                                 100815494000                       # Number of ticks simulated (Tick)
finalTick                                100815494000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     57.01                       # Real time elapsed on the host (Second)
hostTickRate                               1768313093                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8556188                       # Number of bytes of host memory used (Byte)
simInsts                                     13036129                       # Number of instructions simulated (Count)
simOps                                       14374027                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   228655                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     252121                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        100815529                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.727895                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.129401                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14992020                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    17669                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       15940365                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    184                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               635661                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            452416                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 433                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56864997                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.280319                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.878327                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  49142614     86.42%     86.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3795658      6.67%     93.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1819671      3.20%     96.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    933014      1.64%     97.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    577679      1.02%     98.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    251420      0.44%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    288321      0.51%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     44379      0.08%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     12241      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56864997                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8761      6.74%      6.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1521      1.17%      7.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      19      0.01%      7.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 2048      1.58%      9.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      9.51% # attempts to use FU when none available (Count)
