
---------- Begin Simulation Statistics ----------
simSeconds                                   1.932278                       # Number of seconds simulated (Second)
simTicks                                 1932278270000                       # Number of ticks simulated (Tick)
finalTick                                1932278270000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1183.94                       # Real time elapsed on the host (Second)
hostTickRate                               1632078770                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568480                       # Number of bytes of host memory used (Byte)
simInsts                                    317402583                       # Number of instructions simulated (Count)
simOps                                      339883758                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   268091                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     287079                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1932278784                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.063395                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.164924                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       346678033                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2452131                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      367706101                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1253                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              9246405                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6393559                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 311                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1161397164                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.316607                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.974734                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 989578709     85.21%     85.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  88774336      7.64%     92.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  34319089      2.95%     95.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  18114132      1.56%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12458658      1.07%     98.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6967837      0.60%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7211206      0.62%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3775438      0.33%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    197759      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1161397164                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  138304      5.41%      5.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24514      0.96%      6.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      19      0.00%      6.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               523583     20.49%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    2      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      4      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     26.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     26.86% # attempts to use FU when none available (Count)
