
---------- Begin Simulation Statistics ----------
simSeconds                                   0.201369                       # Number of seconds simulated (Second)
simTicks                                 201368599000                       # Number of ticks simulated (Tick)
finalTick                                201368599000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    113.57                       # Real time elapsed on the host (Second)
hostTickRate                               1773126643                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8557216                       # Number of bytes of host memory used (Byte)
simInsts                                     26548383                       # Number of instructions simulated (Count)
simOps                                       29219285                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   233768                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     257287                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        201368665                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.578458                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.131953                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        30362198                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    42296                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       32324767                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    276                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1185208                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            817036                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  36                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           113941848                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.283695                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.886750                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  98317360     86.29%     86.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7711342      6.77%     93.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3645830      3.20%     96.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1869577      1.64%     97.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1162291      1.02%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    517412      0.45%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    585380      0.51%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     96718      0.08%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     35938      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             113941848                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17188      6.54%      6.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3039      1.16%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      19      0.01%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 8192      3.12%     10.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     10.82% # attempts to use FU when none available (Count)
