
---------- Begin Simulation Statistics ----------
simSeconds                                   0.405792                       # Number of seconds simulated (Second)
simTicks                                 405791587000                       # Number of ticks simulated (Tick)
finalTick                                405791587000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    235.14                       # Real time elapsed on the host (Second)
hostTickRate                               1725723126                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8558240                       # Number of bytes of host memory used (Byte)
simInsts                                     57415464                       # Number of instructions simulated (Count)
simOps                                       62743603                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   244173                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     266832                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        405791717                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.062639                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.141590                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        63382789                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   204501                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       68109109                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    341                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               843686                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            571397                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  39                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           240583057                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.283100                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.895156                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 208015558     86.46%     86.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  16110236      6.70%     93.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7412855      3.08%     96.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3796978      1.58%     97.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2471319      1.03%     98.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1181813      0.49%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1251788      0.52%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    262920      0.11%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     79590      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             240583057                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   34487      5.18%      5.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   6183      0.93%      6.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      19      0.00%      6.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                32754      4.92%     11.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.03% # attempts to use FU when none available (Count)
