
---------- Begin Simulation Statistics ----------
simSeconds                                   0.097120                       # Number of seconds simulated (Second)
simTicks                                  97120004000                       # Number of ticks simulated (Tick)
finalTick                                 97120004000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     54.97                       # Real time elapsed on the host (Second)
hostTickRate                               1766908469                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8556192                       # Number of bytes of host memory used (Byte)
simInsts                                     12903082                       # Number of instructions simulated (Count)
simOps                                       14237967                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   234746                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259031                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         97120036                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.521476                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.132953                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14482215                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    17435                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       15549674                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    157                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               261682                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            195737                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 199                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56525621                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.275091                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.874258                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  49009676     86.70%     86.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3687506      6.52%     93.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1781133      3.15%     96.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    934788      1.65%     98.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    497233      0.88%     98.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    258294      0.46%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    303948      0.54%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     32896      0.06%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     20147      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56525621                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8801      5.47%      5.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1521      0.95%      6.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 2048      1.27%      7.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      7.69% # attempts to use FU when none available (Count)
