
---------- Begin Simulation Statistics ----------
simSeconds                                   0.398673                       # Number of seconds simulated (Second)
simTicks                                 398672722000                       # Number of ticks simulated (Tick)
finalTick                                398672722000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    227.73                       # Real time elapsed on the host (Second)
hostTickRate                               1750630737                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8558240                       # Number of bytes of host memory used (Byte)
simInsts                                     53973801                       # Number of instructions simulated (Count)
simOps                                       59353897                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   237007                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     260632                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        398672851                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.381397                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.135476                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        61834240                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   101964                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       66710366                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    369                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2582306                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1854558                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  30                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           230832312                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.288999                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.893886                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 198737488     86.10%     86.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15699917      6.80%     92.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7528404      3.26%     96.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3816886      1.65%     97.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2443904      1.06%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1170830      0.51%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1219050      0.53%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    167747      0.07%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     48086      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             230832312                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   34477      5.53%      5.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   6183      0.99%      6.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                32700      5.25%     11.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     11.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     11.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     11.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     11.77% # attempts to use FU when none available (Count)
