
---------- Begin Simulation Statistics ----------
simSeconds                                   0.395968                       # Number of seconds simulated (Second)
simTicks                                 395967993000                       # Number of ticks simulated (Tick)
finalTick                                395967993000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    225.21                       # Real time elapsed on the host (Second)
hostTickRate                               1758232554                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8559260                       # Number of bytes of host memory used (Byte)
simInsts                                     52786085                       # Number of instructions simulated (Count)
simOps                                       58166693                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   234388                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     258280                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        395968122                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.496165                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.133402                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        60887727                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    79092                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       65495215                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    468                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2800125                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2193245                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                3558                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           228740235                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.286330                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.886522                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 197111526     86.17%     86.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15449425      6.75%     92.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7497070      3.28%     96.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3788630      1.66%     97.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2349724      1.03%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1205918      0.53%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1155843      0.51%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    134576      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     47523      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             228740235                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   34478      5.52%      5.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   6183      0.99%      6.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                32640      5.23%     11.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     11.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     11.74% # attempts to use FU when none available (Count)
