
---------- Begin Simulation Statistics ----------
simSeconds                                   0.098991                       # Number of seconds simulated (Second)
simTicks                                  98991069000                       # Number of ticks simulated (Tick)
finalTick                                 98991069000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     56.46                       # Real time elapsed on the host (Second)
hostTickRate                               1753299006                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8556192                       # Number of bytes of host memory used (Byte)
simInsts                                     12976352                       # Number of instructions simulated (Count)
simOps                                       14315012                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   229833                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     253543                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         98991102                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.623135                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.131180                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14978583                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    19030                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       16153177                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    164                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               682600                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            494643                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  30                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56871068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.284032                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.884096                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  49095038     86.33%     86.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3765629      6.62%     92.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1858841      3.27%     96.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    948561      1.67%     97.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    591215      1.04%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    271093      0.48%     99.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    292980      0.52%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     35710      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     12001      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56871068                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8784      5.85%      5.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1521      1.01%      6.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 2048      1.36%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      8.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%      8.23% # attempts to use FU when none available (Count)
