
---------- Begin Simulation Statistics ----------
simSeconds                                   0.098836                       # Number of seconds simulated (Second)
simTicks                                  98835729000                       # Number of ticks simulated (Tick)
finalTick                                 98835729000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     55.38                       # Real time elapsed on the host (Second)
hostTickRate                               1784534266                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8556188                       # Number of bytes of host memory used (Byte)
simInsts                                     12900448                       # Number of instructions simulated (Count)
simOps                                       14239236                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   232924                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     257097                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         98835762                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.655928                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.130618                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14917423                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    17439                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       16073197                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    183                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               695625                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            515116                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 203                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56740380                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.283276                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.882092                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  48995240     86.35%     86.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3749161      6.61%     92.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1856762      3.27%     96.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    946301      1.67%     97.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    585051      1.03%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    273259      0.48%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    289064      0.51%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     33610      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     11932      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56740380                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8784      5.85%      5.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1521      1.01%      6.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 2048      1.36%      8.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.22% # attempts to use FU when none available (Count)
