
---------- Begin Simulation Statistics ----------
simSeconds                                   1.717231                       # Number of seconds simulated (Second)
simTicks                                 1717230819000                       # Number of ticks simulated (Tick)
finalTick                                1717230819000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1028.86                       # Real time elapsed on the host (Second)
hostTickRate                               1669060586                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568476                       # Number of bytes of host memory used (Byte)
simInsts                                    254509280                       # Number of instructions simulated (Count)
simOps                                      277002740                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   247370                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     269232                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1717231332                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.743352                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.148294                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       286469731                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   829162                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      309493647                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1223                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10296152                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7443472                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 894                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1015160922                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.304872                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.922891                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 865966752     85.30%     85.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  75500867      7.44%     92.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  33105107      3.26%     96.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  16156424      1.59%     97.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11356889      1.12%     98.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6065579      0.60%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5735530      0.56%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1045529      0.10%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    228245      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1015160922                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  138869      4.76%      4.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24514      0.84%      5.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               523554     17.96%     23.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.57% # attempts to use FU when none available (Count)
