
---------- Begin Simulation Statistics ----------
simSeconds                                   2.220315                       # Number of seconds simulated (Second)
simTicks                                 2220315022000                       # Number of ticks simulated (Tick)
finalTick                                2220315022000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1377.57                       # Real time elapsed on the host (Second)
hostTickRate                               1611756742                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568476                       # Number of bytes of host memory used (Byte)
simInsts                                    291334933                       # Number of instructions simulated (Count)
simOps                                      347632631                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   211484                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     252351                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       2220315541                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.614789                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.131323                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       350786105                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   262528                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      405338990                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2730                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3416001                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2498559                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  28                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1387096691                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.292221                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.895174                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1186949838     85.57%     85.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 104082794      7.50%     93.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  42273561      3.05%     96.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  26883240      1.94%     98.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10929176      0.79%     98.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5115977      0.37%     99.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9461597      0.68%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1210881      0.09%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    189627      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1387096691                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  138334      3.47%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24514      0.61%      4.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               524214     13.14%     17.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.22% # attempts to use FU when none available (Count)
