
---------- Begin Simulation Statistics ----------
simSeconds                                   1.914892                       # Number of seconds simulated (Second)
simTicks                                 1914891559000                       # Number of ticks simulated (Tick)
finalTick                                1914891559000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1253.96                       # Real time elapsed on the host (Second)
hostTickRate                               1527081012                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568476                       # Number of bytes of host memory used (Byte)
simInsts                                    240708373                       # Number of instructions simulated (Count)
simOps                                      297006071                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   191959                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     236855                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1914892078                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.947166                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.125831                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       300411915                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   262528                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      385811113                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 161144                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3668371                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3450313                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  28                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1222470558                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.315600                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.941893                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1043810119     85.39%     85.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  86034561      7.04%     92.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  36475056      2.98%     95.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  18725361      1.53%     96.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  24497512      2.00%     98.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5942110      0.49%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6138594      0.50%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    659765      0.05%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    187480      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1222470558                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  138334      0.71%      0.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24514      0.13%      0.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               524108      2.68%      3.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      3.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      3.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      3.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      3.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      3.51% # attempts to use FU when none available (Count)
